"source_study","target_study","source_var_name","target_var_name","source_var_label","target_var_label","class_label","match_label"
"ADNI","NACC","HMHYPERT","HXHYPER","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History or presence of hypertension.","History or presence of hypertension","identical match",1
"ADNI","NACC","HMSTROKE","HXSTROKE","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.","History of stroke","identical match",1
"ADNI","NACC","HMNEURSM","FOCLSYM","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological symptoms.","Focal neurological symptoms","identical match",1
"ADNI","NACC","HMNEURSG","FOCLSIGN","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological signs.","Focal neurological signs","identical match",1
"ADNI","NACC","HMSCORE","HACHIN","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Sum all circled answers for a total score.","Hachinski ischemic score","identical match",1
"ADNI","AMED","HMONSET","HMONSET","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Abrupt onset (re: cognitive status).","Abrupt Onset of Dementia","identical match",1
"ADNI","AMED","HMSTEPWS","HMSTEPWS","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Stepwise deterioration (re: cognitive status).","Stepwise Deterioration of Dementia","identical match",1
"ADNI","AMED","HMSOMATC","HMSOMATC","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Somatic complaints.","Somatic Complaints","identical match",1
"ADNI","AMED","HMEMOTIO","HMEMOTIO","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Emotional incontinence.","Emotional Incontinence","identical match",1
"ADNI","AMED","HMHYPERT","HMHYPERT","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History or presence of hypertension.","History of Hypertension","identical match",1
"ADNI","AMED","HMSTROKE","HMSTROKE","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.","History of Stroke","identical match",1
"ADNI","AMED","HMNEURSM","HMNEURSM","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological symptoms.","Focal Neurologic Symptoms","identical match",1
"ADNI","AMED","HMNEURSG","HMNEURSG","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological signs.","Focal Neurologic Signs","identical match",1
"ADNI","AMED","HMSCORE","HMSCOR","Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Sum all circled answers for a total score.",,"identical match",1
"ADNI","NACC","TRAASCOR","TRAILA","Trail Making Test (TMT) A","Trail Making Test Part A ??Total number of seconds to complete","identical match",1
"ADNI","NACC","TRABSCOR","TRAILB","Trail Making Test (TMT) B","Trail Making Test Part B ??Total number of seconds to complete","identical match",1
"ADNI","NACC","DSPANFOR","DIGIF","Digit Span Test (Forward)","Digit span forward trials correct","identical match",1
"ADNI","NACC","DSPANBAC","DIGIB","Digit Span Test (Backward)","Digit span backward trials correct","identical match",1
"ADNI","AMED","TRAASCOR","TRAASCOR","Trail Making Test (TMT) A","Trail Making Test (TMT) A","identical match",1
"ADNI","AMED","TRABSCOR","TRABSCOR","Trail Making Test (TMT) B","Trail Making Test (TMT) B","identical match",1
"ADNI","NACC","BCDEPRES","DEP2YRS","Depression","Active depression in the last two years","identical match",1
"ADNI","NACC","BCSTROKE","CBSTROKE","Stroke","Stroke","identical match",1
"ADNI","AMED","BCDEPRES","BCDEPRES","Depression","Clinically relevant depression based on clinical judgement or GDS?","identical match",1
"ADNI","AMED","BCSTROKE","BCSTROKE","Stroke","Did subject have a stroke?","identical match",1
"ADNI","EPAD","BCDEPRES","medical_history_term","Depression","Medical History Term","identical match",1
"ADNI","EPAD","BCSTROKE","medical_history_term","Stroke","Medical History Term","identical match",1
"ADNI","EPAD","DXPARK","high_level_group_term","Parkinson Disease","High Level Group Term","identical match",1
"ADNI","NACC","DXPARK","PD","Parkinson Disease","Parkinson 's disease (PD)","identical match",1
"ADNI","NACC","EXPSYCH","BIPOLAR","bipolar or Schizophrenia","Bipolar disorder","identical match",1
"ADNI","NACC","EXPSYCH","SCHIZ","bipolar or Schizophrenia","Schizophrenia","identical match",1
"ADNI","NACC","AXT117","THYROID","Thyroid","Thyroid disease","identical match",1
"ADNI","NACC","BCVISION","VISION","Vision","Without corrective lenses, is the subject 's vision functionally normal?","identical match",1
"ADNI","NACC","PXHEART","CVCHF","Heart Condition","Congestive heart failure","identical match",1
"ADNI","NACC","PREHEART","HRATE","Heart Rate","Subject resting heart rate (pulse)","identical match",1
"ADNI","EPAD","PXHEART","heart_abnormal_findings","Heart Condition","Heart - Abnormal Findings","identical match",1
"ADNI","EPAD","PREHEART","heart_results","Heart Rate","Heart - Results","identical match",1
"ADNI","EPAD","BCABDOMN","abdomen_results","Abdominal Discomfort","Abdomen - Results","identical match",1
"ADNI","EPAD","BCCOUGH","psqi_item5_e","Coughing","5e. Cough or snore loudly","identical match",1
"ADNI","EPAD","BCMUSCLE","musculoskeletal_results","Musculoskeletal Pain","Musculoskeletal - Results","identical match",1
"ADNI","NACC","BCINSOMN","INSOMN","Insomnia","Hyposomnia/insomnia history reported at Initial Visit","identical match",1
"ADNI","NACC","MHPSYCH","PSYCDIS","Psychiatric","Other psychiatric disorder","identical match",1
"ADNI","NACC","MH4CARD","CVOTHR","Cardiovascular","Other cardiovascular disease","identical match",1
"ADNI","EPAD","PTAU","ptau_result","CSF PTAU (Cerebrospinal fluid (CSF) phosphorylated tau (p-tau)","amount of phosphorylated Tau protein present in a sample","identical match",1
"ADNI","EPAD","TAU","ttau_result","CSF TAU (Is a quantification of total tau protein, a biomarker for Alzheimer's diseas)","Is a quantification of total tau protein, a biomarker for Alzheimer's disease.","identical match",1
"ADNI","EPAD","ABETA","abeta_1_42_result","A-beta 1-42 in CSF","The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.","identical match",1
"ADNI","NACC","ST24CV","LENT","Volume (Cortical Parcellation) of Left Entorhinal","Left entorhinal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST83CV","RENT","Volume (Cortical Parcellation) of Right Entorhinal","Right entorhinal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST26CV","LFUS","Volume (Cortical Parcellation) of Left Fusiform","Left fusiform gray matter volume (cc)","identical match",1
"ADNI","NACC","ST85CV","RFUS","Volume (Cortical Parcellation) of right Fusiform","Right fusiform gray matter volume (cc)","identical match",1
"ADNI","NACC","ST40CV","LMIDTEMP","Volume (Cortical Parcellation) of Left MiddleTemporal","Left middle temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST99CV","RMIDTEMP","Volume (Cortical Parcellation) of Right MiddleTemporal","Right middle temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST107CV","RPERCAL","Volume (Cortical Parcellation) of Right Pericalcarine","Right pericalcarine gray matter volume (cc)","identical match",1
"ADNI","NACC","ST110CV","RPRECEN","Volume (Cortical Parcellation) of Right Precentral","Right precentral gray matter volume (cc)","identical match",1
"ADNI","NACC","ST114CV","RROSMF","Volume (Cortical Parcellation) of Right Rostral Middle Frontal","Right rostral middle frontal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST116CV","RSUPPAR","Volume (Cortical Parcellation) of Right Superior Parietal","Right superior parietal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST118CV","RSUPMAR","Volume (Cortical Parcellation) of Right Supramarginal","Right supramarginal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST130CV","RINSULA","Volume (Cortical Parcellation) of RightInsula","Right insula gray matter volume (cc)","identical match",1
"ADNI","NACC","ST32CV","LINFTEMP","Volume (Cortical Parcellation) of Left Inferior Temporal","Left inferior temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST39CV","LMEDORBF","Volume (Cortical Parcellation) of Left Medial Orbitofrontal","Left medial orbitofrontal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST48CV","LPERCAL","Volume (Cortical Parcellation) of Left Perical carine","Left pericalcarine gray matter volume (cc)","identical match",1
"ADNI","NACC","ST51CV","LPRECEN","Volume (Cortical Parcellation) of Left Precentral","Left precentral gray matter volume (cc)","identical match",1
"ADNI","NACC","ST55CV","LROSMF","Volume (Cortical Parcellation) of Left Rostral Middle Frontal","Left rostral middle frontal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST59CV","LSUPMAR","Volume (Cortical Parcellation) of Left Supramarginal","Left supramarginal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST91CV","RINFTEMP","Volume (Cortical Parcellation) of Right Inferior Temporal","Right inferior temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST98CV","RMEDORBF","Volume (Cortical Parcellation) of Right Medial Orbitofrontal","Right medial orbitofrontal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST57CV","LSUPPAR","Volume (Cortical Parcellation) of Left Superior Parietal","Left superior parietal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST108CV","RPOSCEN","Volume (Cortical Parcellation) of Right Postcentral","Right postcentral gray matter volume (cc)","identical match",1
"ADNI","NACC","ST115CV","RSUPFR","Volume (Cortical Parcellation) of Right Superior Frontat","Right superior frontal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST117CV","RSUPTEM","Right Superior Temporal Volume","Right superior temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST129CV","LINSULA","Volume (Cortical Parcellation) Left Insula","Left insula gray matter volume (cc)","identical match",1
"ADNI","NACC","ST31CV","LINFPAR","Volume (Cortical Parcellation) of  Left Inferior Parietal ","Left inferior parietal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST35CV","LLATOCC","Volume (Cortical Parcellation) of Left Lateral Occipital","Left lateral occipital gray matter volume (cc)","identical match",1
"ADNI","NACC","ST38CV","LLING","Volume (Cortical Parcellation)  Left Lingual","Left lingual gray matter volume (cc)","identical match",1
"ADNI","NACC","ST43CV","LPARCEN","Volume (Cortical Parcellation) of Left Paracentral","Left paracentral gray matter volume (cc)","identical match",1
"ADNI","NACC","ST49CV","LPOSCEN","Volume (Cortical Parcellation) of Left Postcentral","Left postcentral gray matter volume (cc)","identical match",1
"ADNI","NACC","ST56CV","LSUPFR","Volume (Cortical Parcellation) of Left Superior Frontal","Left superior frontal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST58CV","LSUPTEM","Volume (Cortical Parcellation) of Left Superior Temporal","Left superior temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST90CV","RINFPAR","Volume (Cortical Parcellation) of Right Inferior Parietal","Right inferior parietal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST94CV","RLATOCC","Volume (Cortical Parcellation) of Right Lateral Occipital","Right lateral occipital gray matter volume (cc)","identical match",1
"ADNI","NACC","ST97CV","RLING","Volume (Cortical Parcellation) of  Right Lingual","Right lingual gray matter volume (cc)","identical match",1
"ADNI","NACC","ST45CV","LPARSOP","Volume (Cortical Parcellation) of  Left Pars Opercularis","Left pars opercularis gray matter volume (cc)","identical match",1
"ADNI","NACC","ST104CV","RPARSOP","Volume (Cortical Parcellation) of  Right Pars Opercularis","Right pars opercularis gray matter volume (cc)","identical match",1
"ADNI","NACC","ST46CV","LPARORB","Volume (Cortical Parcellation) of  Left Pars Orbitalis","Left pars orbitalis gray matter volume (cc)","identical match",1
"ADNI","NACC","ST105CV","RPARORB","Volume (Cortical Parcellation) of  Right Pars Orbitalis ","Right pars orbitalis gray matter volume (cc)","identical match",1
"ADNI","NACC","ST47CV","LPARTRI","Volume (Cortical Parcellation) of  Left Pars Triangularis","Left pars triangularis gray matter volume (cc)","identical match",1
"ADNI","NACC","ST106CV","RPARTRI","Volume (Cortical Parcellation) of  Right Pars Triangularis","Right pars triangularis gray matter volume (cc)","identical match",1
"ADNI","NACC","ST50CV","LPOSCIN","Volume (Cortical Parcellation) of Left Posterior Cingulate","Left posterior cingulate gray matter volume (cc)","identical match",1
"ADNI","NACC","ST109CV","RPOSCIN","Volume (Cortical Parcellation) of Right Posterior Cingulate","Right posterior cingulate gray matter volume (cc)","identical match",1
"ADNI","NACC","ST54CV","LROSANC","Volume (Cortical Parcellation) of Left Rostral Anterior Cingulate","Left rostral anterior cingulate gray matter volume (cc)","identical match",1
"ADNI","NACC","ST113CV","RROSANC","Volume (Cortical Parcellation) of Right Rostral Anterior Cingulate","Right rostral anterior cingulate gray matter volume (cc)","identical match",1
"ADNI","NACC","ST7SV","CSFVOL","Volume (WM Parcellation) of Csf","Total brain cerebrospinal fluid volume (cc)","identical match",1
"ADNI","NACC","ST14TA","LCACM","Cortical Thickness Average of Left Caudal Anterior Cingulate","Left caudal anterior cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST73TA","RCACM","Cortical Thickness Average of Right Caudal Anterior Cingulate","Right caudal anterior cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST15TA","LCMFM","Cortical Thickness Average of Left Caudal Middle Frontal","Left caudal middle frontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST23TA","LCUNM","Cortical Thickness Average of Left Cuneus","Left cuneus mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST82TA","RCUNM","Cortical Thickness Average of Right Cuneus","Right cuneus mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST24TA","LENTM","Cortical Thickness Average of Left Entorightinal ","Left entorhinal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST83TA","RENTM","Cortical Thickness Average of  Right Entorightinal","Right entorhinal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST26TA","LFUSM","Cortical Thickness Average of  Left Fusiform","Left fusiform mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST85TA","RFUSM","Cortical Thickness Average of Right Fusiform ","Right fusiform mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST31TA","LINFPARM","Cortical Thickness Average of Left Inferiorparietal ","Left inferior parietal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST90TA","RINFPARM","Cortical Thickness Average of Right Inferiorparietal ","Right inferior parietal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST32TA","LINFTEMM","Cortical Thickness Average of Left Inferiortemporal ","Left inferior temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST91TA","RINFTEMM","Cortical Thickness Average of Right Inferiortemporal ","Right inferior temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST129TA","LINSULAM","Cortical Thickness Average of Left Insula ","Left insula mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST130TA","RINSULAM","Cortical Thickness Average of Right Insula ","Right insula mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST34TA","LISTHCM","Cortical Thickness Average of Left Isthmus Cingulate ","Left isthmus cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST93TA","RISTHCM","Cortical Thickness Average of Right Isthmus Cingulate ","Right isthmus cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST35TA","LLATOCCM","Cortical Thickness Average of Left Lateraloccipital ","Left lateral occipital mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST94TA","RLATOCCM","Cortical Thickness Average of Right Lateraloccipital ","Right lateral occipital mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST95TA","LLATORBM","Cortical Thickness Average of Left Lateralorbitofrontal ","Left lateral orbitofrontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST36TA","RLATORBM","Cortical Thickness Average of Right Lateralorbitofrontal ","Right lateral orbitofrontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST38TA","LLINGM","Cortical Thickness Average of Left Lingual ","Left lingual mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST97TA","RLINGM","Cortical Thickness Average of Right Lingual ","Right lingual mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST39TA","LMEDORBM","Cortical Thickness Average of Left Medial Orbitofrontal ","Left medial orbitofrontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST98TA","RMEDORBM","Cortical Thickness Average of Right Medial Orbitofrontal ","Right medial orbitofrontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST40TA","LMIDTEMM","Cortical Thickness Average of Left Middle Temporal ","Left middle temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST99TA","RMIDTEMM","Cortical Thickness Average of Right Middle Temporal ","Right middle temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST43TA","LPARCENM","Cortical Thickness Average of Left Paracentral ","Left paracentral mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST102TA","RPARCENM","Cortical Thickness Average of Right Paracentral ","Right paracentral mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST44TA","LPARHIPM","Cortical Thickness Average of Left Parahippocampal ","Left parahippocampal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST103TA","RPARHIPM","Cortical Thickness Average of Right Parahippocampal ","Right parahippocampal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST45TA","LPARSOPM","Cortical Thickness Average of Left Pars Opercularis ","Left pars opercularis mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST104TA","RPARSOPM","Cortical Thickness Average of Right Pars Opercularis ","Right pars opercularis mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST46TA","LPARORBM","Cortical Thickness Average of Left Parsorbitalis ","Left pars orbitalis mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST105TA","RPARORBM","Cortical Thickness Average of Right Parsorbitalis ","Right pars orbitalis mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST47TA","LPARTRIM","Cortical Thickness Average of Left Pars Triangularis ","Left pars triangularis mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST106TA","RPARTRIM","Cortical Thickness Average of Right Pars Triangularis ","Right pars triangularis mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST48TA","LPERCALM","Cortical Thickness Average of Left Pericalcarine ","Left pericalcarine mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST107TA","RPERCALM","Cortical Thickness Average of Right Pericalcarine ","Right pericalcarine mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST49TA","LPOSCENM","Cortical Thickness Average of Left Postcentral ","Left postcentral mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST108TA","RPOSCENM","Cortical Thickness Average of Right Postcentral ","Right postcentral mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST50TA","LPOSCINM","Cortical Thickness Average of Left Posterior Cingulate ","Left posterior cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST109TA","RPOSCINM","Cortical Thickness Average of Right Posterior Cingulate ","Right posterior cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST51TA","LPRECENM","Cortical Thickness Average of Left Precentral ","Left precentral mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST110TA","RPRECENM","Cortical Thickness Average of Right Precentral ","Right precentral mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST52TA","LPRECUNM","Cortical Thickness Average of Left Precuneus ","Left precuneus mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST111TA","RPRECUNM","Cortical Thickness Average of Right Precuneus ","Right precuneus mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST54TA","LROSANCM","Cortical Thickness Average of Left Rostral Anterior Cingulate ","Left rostral anterior cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST113TA","RROSANCM","Cortical Thickness Average of Right Rostral Anterior Cingulate ","Right rostral anterior cingulate mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST55TA","LROSMFM","Cortical Thickness Average of Left Rostral Middle Frontal ","Left rostral middle frontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST114TA","RROSMFM","Cortical Thickness Average of Right Rostral Middle Frontal ","Right rostral middle frontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST56TA","LSUPFRM","Cortical Thickness Average of Left Superior Frontal ","Left superior frontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST115TA","RSUPFRM","Cortical Thickness Average of Right Superiorfrontal ","Right superior frontal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST57TA","LSUPPARM","Cortical Thickness Average of Left Superiorparietal ","Left superior parietal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST116TA","RSUPPARM","Cortical Thickness Average of Right Superiorparietal ","Right superior parietal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST58TA","LSUPTEMM","Cortical Thickness Average of Left Superior Temporal ","Left superior temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST117TA","RSUPTEMM","Cortical Thickness Average of Right Superior Temporal ","Right superior temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST59TA","LSUPMARM","Cortical Thickness Average of Left Supramarginal ","Left supramarginal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST118TA","RSUPMARM","Cortical Thickness Average of Right Supramarginal ","Right supramarginal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST62TA","LTRTEMM","Cortical Thickness Average of Left Transverse Temporal ","Left transverse temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST121TA","RTRTEMM","Cortical Thickness Average of Right Transverse Temporal ","Right transverse temporal mean cortical thickness (mm)","identical match",1
"ADNI","NACC","ST52CV","LPRECUN","Volume (Cortical Parcellation) of Left Precuneus","Left precuneus gray matter volume (cc)","identical match",1
"ADNI","NACC","ST111CV","RPRECUN","Volume (Cortical Parcellation) o Right Precuneus","Right precuneus gray matter volume (cc)","identical match",1
"ADNI","NACC","ST62CV","LTRTEM","Volume (Cortical Parcellation) o Left Transverse Temporal","Left transverse temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST121CV","RTRTEM","Volume (Cortical Parcellation) o Right Transverse Temporal","Right transverse temporal gray matter volume (cc)","identical match",1
"ADNI","NACC","ST37SV","LLATVENT","Volume (WM Parcellation) of Left Lateral Ventricle","Segmented left lateral ventricle volume (cc)","identical match",1
"ADNI","NACC","ST96SV","RLATVENT","Volume (WM Parcellation) of Right Lateral Ventricle","Segmented right lateral ventricle volume (cc)","identical match",1
"ADNI","NACC","ST127SV","THIRVENT","Volume (WM Parcellation) of Third Ventricle","Segmented total third ventricle volume (cc)","identical match",1
"ADNI","NACC","ST29SV","LHIPPO","Volume (WM Parcellation) of Left Hippocampus","Segmented left hippocampus volume (cc)","identical match",1
"ADNI","NACC","ST88SV","RHIPPO","Volume (WM Parcellation) of Right Hippocampus","Segmented right hippocampus volume (cc)","identical match",1
"ADNI","EPAD","MH16SMOK","smoking","Smoking(1=Yes; 0=No)","Smoking","identical match",1
"ADNI","NACC","MH16SMOK","TOBAC30","Smoking(1=Yes; 0=No)","Smoked cigarettes in last 30 days","identical match",1
"ADNI","NACC","MH16SMOK","PACKSPER","Smoking(1=Yes; 0=No)","Average number of packs smoked per day","identical match",1
"ADNI","NACC","MH16CSMOK","QUITSMOK","If no longer smoking, provide period of time since stopped smoking (years)","If the subject quit smoking, age at which he/she last smoked (i.e., quit)","identical match",1
"aachen-hf","viennahf-register","HbA1c","HbA1c","HbA1c","HBA1c","identical match",1
"aachen-hf","viennahf-register","Creatinine","KreatininLabor","creatinine","Creatinine","identical match",1
"aachen-hf","viennahf-register","Urea","HarnstoffN","urea","Urea","identical match",1
"aachen-hf","viennahf-register","Triglyceride","Triglyceride","triglyceride","triglyceride","identical match",1
"aachen-hf","viennahf-register","patientid","BASISPATIID","patient identification number","patient identification number","identical match",1
"aachen-hf","viennahf-register","MRA","MRA","mineralocorticoid receptor antagonist (MRA)","Mineralocorticoid receptor antagonists(MRAs)","partial match",1
"aachen-hf","viennahf-register","Height","Gr??e","height","height","identical match",1
"aachen-hf","viennahf-register","HDLC","HDL-Cholesterin","HDL-cholesterol","HDL-Cholesterol","compatible match",1
"aachen-hf","viennahf-register","Age","PATIENTENALTER2","age at visit","age at visit","identical match",1
"aachen-hf","viennahf-register","eGFR","eGFR","estimated glomerular filtration rate (CKD-EPI)","estimated glomerular fraction rate","identical match",1
"aachen-hf","viennahf-register","date","VISITDATUM","date of visit","date of visit","identical match",1
"aachen-hf","viennahf-register","Weight","Gewicht","weight","weight","identical match",1
"aachen-hf","viennahf-register","BMI","BMI","body mass index","body mass index","identical match",1
"aachen-hf","viennahf-register","ARB","ARB","Angiotensin II receptor blockers","Angiotensin II Receptor Blockers (ARBs)","partial match",1
"aachen-hf","viennahf-register","ARNI","ARNI","sacubitril/valsartan","Angiotensin Receptor-Neprilysin Inhibitor (ARNi)","partial match",1
"aachen-hf","viennahf-register","LDLC","HDL-Cholesterin","LDL-cholesterol","HDL-Cholesterol","identical match",1
"aachen-hf","viennahf-register","BetablockerWirkstoff","Betablocker","Betablocker substance","Betablocker","partial match",1
"aachen-hf","viennahf-register","BB","Betablocker","Beta blockers","Betablocker","partial match",1
"aachen-hf","viennahf-register","SGLT2","SGLT2i","sodium glucose cotransporter 2 inhibitors","SGLT2i","partial match",1
"aachen-hf","viennahf-register","ALT","ALAT","Alanine aminotransferase","Alanine Aminotransferase(ALAT)","partial match",1
"aachen-hf","viennahf-register","ACE","ACEi","Angiotensin-converting enzyme inhibitors","ACE inhibitors (ACEI)","partial match",1
"aachen-hf","viennahf-register","AST","ASAT","Aspartate aminotransferase","aspartaataminotransferase(ASAT)","partial match",1
"aachen-hf","viennahf-register","Height","Gewicht","height","weight","identical match",1
"aachen-hf","viennahf-register","Weight","Gr??e","weight","height","not applicable",0
"aachen-hf","viennahf-register","GGT","GammaGT","gamma-glutamyl transferase (GGT)","gamma glutaryl transferase","identical match",1
"aachen-hf","viennahf-register","PREA","Albumin","prealbumin","Albumin","identical match",1
"aachen-hf","viennahf-register","CKD","CK","History of chronic kidney disease","creatinin kinase","identical match",1
"aachen-hf","viennahf-register","Eosinophiles","Eosinophileabsolut","eosinophiles","eosinophils absolute","identical match",1
"aachen-hf","viennahf-register","LDLC","LDLCerrechnet","LDL-cholesterol","LDL-Cholsterine","identical match",1
"aachen-hf","viennahf-register","Diabetes","TypDiabetesmellitus","History of diabetes","type of diabetes","partial match",1
"aachen-hf","viennahf-register","ARNI","ARNITD","sacubitril/valsartan","ARNi daily dosis in % of target dosis","compatible match",1
"aachen-hf","viennahf-register","Historyofmyocardialinfarction","DatumMyokardinfarkt","History of myocardial infarction","date of past myocardial infarction","partial match",1
"aachen-hf","viennahf-register","HistoryCOPD","COPD","History of chronic obstructive pulmonary disorder","COPD ( chronic obstructive pulmonary disease)","identical match",1
"aachen-hf","viennahf-register","Diuretics","Schleifen-D","diuretics","Loop diuretics","identical match",1
"aachen-hf","viennahf-register","SGLT2","SGLT2iTD","sodium glucose cotransporter 2 inhibitors","SGLT2i daily dosis in % of target dosis","compatible match",1
"aachen-hf","viennahf-register","Creatinine","CK","creatinine","creatinin kinase","identical match",1
"aachen-hf","viennahf-register","ARNI_dd","ARNITD","original dosage of ARNI","ARNi daily dosis in % of target dosis","compatible match",1
"aachen-hf","viennahf-register","date","GEBURTSDATUM","date of visit","date of birth","not applicable",0
"aachen-hf","viennahf-register","ARB","ARBTD","Angiotensin II receptor blockers","ARB daily dosis in % of target dosis","compatible match",1
"aachen-hf","viennahf-register","SGLT2_dd","SGLT2iTD","original dosage of SGLT2 inhibitors","SGLT2i daily dosis in % of target dosis","compatible match",1
"aachen-hf","viennahf-register","TCHOL","HDL-Cholesterin","total cholesterol","HDL-Cholesterol","not applicable",0
"aachen-hf","viennahf-register","MRA","MRATD","mineralocorticoid receptor antagonist (MRA)","MRA daily dosis in % of target dosis","partial match",1
"aachen-hf","viennahf-register","hsCRP","CRP","high sensitivity C reactive protein","ultrasensitive C reactive protein(CRP)","identical match",1
