source_study,target_study,text1,text2,cosine,rank,mrr,r@1,r@3,r@5,r@10
adni,nacc,Cardiovascular,Other cardiovascular disease,0.68088,1,1.0,True,True,True,True
adni,epad,CSF PTAU (Cerebrospinal fluid (CSF) phosphorylated tau (p-tau),amount of phosphorylated Tau protein present in a sample,0.69641,5,0.2,False,False,True,True
adni,epad,"CSF TAU (Is a quantification of total tau protein, a biomarker for Alzheimer's diseas)","Is a quantification of total tau protein, a biomarker for Alzheimer's disease.",0.92588,1,1.0,True,True,True,True
adni,epad,A-beta 1-42 in CSF,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,0.73499,2,0.5,False,True,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Entorhinal,Left entorhinal gray matter volume (cc),0.83019,6,0.16666666666666666,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Right Entorhinal,Right entorhinal gray matter volume (cc),0.83143,5,0.2,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Fusiform,Left fusiform gray matter volume (cc),0.82183,4,0.25,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of right Fusiform,Right fusiform gray matter volume (cc),0.82064,7,0.14285714285714285,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Left MiddleTemporal,Left middle temporal gray matter volume (cc),0.81099,13,0.07692307692307693,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right MiddleTemporal,Right middle temporal gray matter volume (cc),0.81493,14,0.07142857142857142,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Pericalcarine,Right pericalcarine gray matter volume (cc),0.87566,1,1.0,True,True,True,True
adni,nacc,Volume (Cortical Parcellation) of Right Precentral,Right precentral gray matter volume (cc),0.85571,13,0.07692307692307693,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Rostral Middle Frontal,Right rostral middle frontal gray matter volume (cc),0.86487,8,0.125,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Right Superior Parietal,Right superior parietal gray matter volume (cc),0.83251,14,0.07142857142857142,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Supramarginal,Right supramarginal gray matter volume (cc),0.84614,16,0.0625,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of RightInsula,Right insula gray matter volume (cc),0.75782,59,0.01694915254237288,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Left Inferior Temporal,Left inferior temporal gray matter volume (cc),0.83002,13,0.07692307692307693,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Left Medial Orbitofrontal,Left medial orbitofrontal gray matter volume (cc),0.85912,2,0.5,False,True,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Perical carine,Left pericalcarine gray matter volume (cc),0.69307,9,0.1111111111111111,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Left Precentral,Left precentral gray matter volume (cc),0.85945,11,0.09090909090909091,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Left Rostral Middle Frontal,Left rostral middle frontal gray matter volume (cc),0.86561,8,0.125,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Left Supramarginal,Left supramarginal gray matter volume (cc),0.84669,15,0.06666666666666667,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Inferior Temporal,Right inferior temporal gray matter volume (cc),0.8206,17,0.058823529411764705,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Medial Orbitofrontal,Right medial orbitofrontal gray matter volume (cc),0.86296,2,0.5,False,True,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Superior Parietal,Left superior parietal gray matter volume (cc),0.8353,14,0.07142857142857142,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Postcentral,Right postcentral gray matter volume (cc),0.83219,15,0.06666666666666667,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Superior Frontat,Right superior frontal gray matter volume (cc),0.78966,26,0.038461538461538464,False,False,False,False
adni,nacc,Right Superior Temporal Volume,Right superior temporal gray matter volume (cc),0.83535,1,1.0,True,True,True,True
adni,nacc,Volume (Cortical Parcellation) Left Insula,Left insula gray matter volume (cc),0.8158,27,0.037037037037037035,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of  Left Inferior Parietal,Left inferior parietal gray matter volume (cc),0.83139,7,0.14285714285714285,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Left Lateral Occipital,Left lateral occipital gray matter volume (cc),0.8587,2,0.5,False,True,True,True
adni,nacc,Volume (Cortical Parcellation)  Left Lingual,Left lingual gray matter volume (cc),0.8228,5,0.2,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Paracentral,Left paracentral gray matter volume (cc),0.82576,14,0.07142857142857142,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Left Postcentral,Left postcentral gray matter volume (cc),0.84324,9,0.1111111111111111,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Left Superior Frontal,Left superior frontal gray matter volume (cc),0.84063,9,0.1111111111111111,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Left Superior Temporal,Left superior temporal gray matter volume (cc),0.81215,21,0.047619047619047616,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of Right Inferior Parietal,Right inferior parietal gray matter volume (cc),0.83473,8,0.125,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Right Lateral Occipital,Right lateral occipital gray matter volume (cc),0.85188,2,0.5,False,True,True,True
adni,nacc,Volume (Cortical Parcellation) of  Right Lingual,Right lingual gray matter volume (cc),0.8096,16,0.0625,False,False,False,False
adni,nacc,Volume (Cortical Parcellation) of  Left Pars Opercularis,Left pars opercularis gray matter volume (cc),0.8811,4,0.25,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of  Right Pars Opercularis,Right pars opercularis gray matter volume (cc),0.87708,4,0.25,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of  Left Pars Orbitalis,Left pars orbitalis gray matter volume (cc),0.85494,4,0.25,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of  Right Pars Orbitalis,Right pars orbitalis gray matter volume (cc),0.85421,4,0.25,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of  Left Pars Triangularis,Left pars triangularis gray matter volume (cc),0.85328,3,0.3333333333333333,False,True,True,True
adni,nacc,Volume (Cortical Parcellation) of  Right Pars Triangularis,Right pars triangularis gray matter volume (cc),0.85456,4,0.25,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Posterior Cingulate,Left posterior cingulate gray matter volume (cc),0.86633,5,0.2,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of Right Posterior Cingulate,Right posterior cingulate gray matter volume (cc),0.86847,5,0.2,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Rostral Anterior Cingulate,Left rostral anterior cingulate gray matter volume (cc),0.87968,6,0.16666666666666666,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) of Right Rostral Anterior Cingulate,Right rostral anterior cingulate gray matter volume (cc),0.87886,6,0.16666666666666666,False,False,False,True
adni,nacc,Volume (WM Parcellation) of Csf,Total brain cerebrospinal fluid volume (cc),0.7008,5,0.2,False,False,True,True
adni,nacc,Cortical Thickness Average of Left Caudal Anterior Cingulate,Left caudal anterior cingulate mean cortical thickness (mm),0.92699,4,0.25,False,False,True,True
adni,nacc,Cortical Thickness Average of Right Caudal Anterior Cingulate,Right caudal anterior cingulate mean cortical thickness (mm),0.92468,6,0.16666666666666666,False,False,False,True
adni,nacc,Cortical Thickness Average of Left Caudal Middle Frontal,Left caudal middle frontal mean cortical thickness (mm),0.92885,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Cuneus,Left cuneus mean cortical thickness (mm),0.94587,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Cuneus,Right cuneus mean cortical thickness (mm),0.94687,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Entorightinal,Left entorhinal mean cortical thickness (mm),0.73952,71,0.014084507042253521,False,False,False,False
adni,nacc,Cortical Thickness Average of  Right Entorightinal,Right entorhinal mean cortical thickness (mm),0.73545,72,0.013888888888888888,False,False,False,False
adni,nacc,Cortical Thickness Average of  Left Fusiform,Left fusiform mean cortical thickness (mm),0.89811,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Fusiform,Right fusiform mean cortical thickness (mm),0.89221,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Inferiorparietal,Left inferior parietal mean cortical thickness (mm),0.86548,5,0.2,False,False,True,True
adni,nacc,Cortical Thickness Average of Right Inferiorparietal,Right inferior parietal mean cortical thickness (mm),0.86969,5,0.2,False,False,True,True
adni,nacc,Cortical Thickness Average of Left Inferiortemporal,Left inferior temporal mean cortical thickness (mm),0.86995,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Inferiortemporal,Right inferior temporal mean cortical thickness (mm),0.87316,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Insula,Left insula mean cortical thickness (mm),0.90481,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Insula,Right insula mean cortical thickness (mm),0.90231,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Isthmus Cingulate,Left isthmus cingulate mean cortical thickness (mm),0.8988,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Isthmus Cingulate,Right isthmus cingulate mean cortical thickness (mm),0.89411,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Lateraloccipital,Left lateral occipital mean cortical thickness (mm),0.8267,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Lateraloccipital,Right lateral occipital mean cortical thickness (mm),0.81292,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Lateralorbitofrontal,Left lateral orbitofrontal mean cortical thickness (mm),0.77857,13,0.07692307692307693,False,False,False,False
adni,nacc,Cortical Thickness Average of Right Lateralorbitofrontal,Right lateral orbitofrontal mean cortical thickness (mm),0.76554,14,0.07142857142857142,False,False,False,False
adni,nacc,Cortical Thickness Average of Left Lingual,Left lingual mean cortical thickness (mm),0.88964,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Lingual,Right lingual mean cortical thickness (mm),0.8779,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Medial Orbitofrontal,Left medial orbitofrontal mean cortical thickness (mm),0.91861,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Medial Orbitofrontal,Right medial orbitofrontal mean cortical thickness (mm),0.91962,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Middle Temporal,Left middle temporal mean cortical thickness (mm),0.92293,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Middle Temporal,Right middle temporal mean cortical thickness (mm),0.92488,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Paracentral,Left paracentral mean cortical thickness (mm),0.91448,5,0.2,False,False,True,True
adni,nacc,Cortical Thickness Average of Right Paracentral,Right paracentral mean cortical thickness (mm),0.9104,5,0.2,False,False,True,True
adni,nacc,Cortical Thickness Average of Left Parahippocampal,Left parahippocampal mean cortical thickness (mm),0.92424,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Parahippocampal,Right parahippocampal mean cortical thickness (mm),0.92791,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Pars Opercularis,Left pars opercularis mean cortical thickness (mm),0.94954,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Pars Opercularis,Right pars opercularis mean cortical thickness (mm),0.94757,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Parsorbitalis,Left pars orbitalis mean cortical thickness (mm),0.89347,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Parsorbitalis,Right pars orbitalis mean cortical thickness (mm),0.88838,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Pars Triangularis,Left pars triangularis mean cortical thickness (mm),0.90703,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Pars Triangularis,Right pars triangularis mean cortical thickness (mm),0.90797,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Pericalcarine,Left pericalcarine mean cortical thickness (mm),0.93076,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Pericalcarine,Right pericalcarine mean cortical thickness (mm),0.93205,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Postcentral,Left postcentral mean cortical thickness (mm),0.92331,4,0.25,False,False,True,True
adni,nacc,Cortical Thickness Average of Right Postcentral,Right postcentral mean cortical thickness (mm),0.92011,5,0.2,False,False,True,True
adni,nacc,Cortical Thickness Average of Left Posterior Cingulate,Left posterior cingulate mean cortical thickness (mm),0.91251,4,0.25,False,False,True,True
adni,nacc,Cortical Thickness Average of Right Posterior Cingulate,Right posterior cingulate mean cortical thickness (mm),0.91197,4,0.25,False,False,True,True
adni,nacc,Cortical Thickness Average of Left Precentral,Left precentral mean cortical thickness (mm),0.93477,3,0.3333333333333333,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Precentral,Right precentral mean cortical thickness (mm),0.93284,4,0.25,False,False,True,True
adni,nacc,Cortical Thickness Average of Left Precuneus,Left precuneus mean cortical thickness (mm),0.9483,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Precuneus,Right precuneus mean cortical thickness (mm),0.95017,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Rostral Anterior Cingulate,Left rostral anterior cingulate mean cortical thickness (mm),0.94244,4,0.25,False,False,True,True
adni,nacc,Cortical Thickness Average of Right Rostral Anterior Cingulate,Right rostral anterior cingulate mean cortical thickness (mm),0.94246,3,0.3333333333333333,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Rostral Middle Frontal,Left rostral middle frontal mean cortical thickness (mm),0.94801,3,0.3333333333333333,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Rostral Middle Frontal,Right rostral middle frontal mean cortical thickness (mm),0.94773,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Superior Frontal,Left superior frontal mean cortical thickness (mm),0.92645,1,1.0,True,True,True,True
adni,nacc,Cortical Thickness Average of Right Superiorfrontal,Right superior frontal mean cortical thickness (mm),0.86119,5,0.2,False,False,True,True
adni,nacc,Cortical Thickness Average of Left Superiorparietal,Left superior parietal mean cortical thickness (mm),0.87259,6,0.16666666666666666,False,False,False,True
adni,nacc,Cortical Thickness Average of Right Superiorparietal,Right superior parietal mean cortical thickness (mm),0.87059,6,0.16666666666666666,False,False,False,True
adni,nacc,Cortical Thickness Average of Left Superior Temporal,Left superior temporal mean cortical thickness (mm),0.92567,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Superior Temporal,Right superior temporal mean cortical thickness (mm),0.92601,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Supramarginal,Left supramarginal mean cortical thickness (mm),0.92047,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Supramarginal,Right supramarginal mean cortical thickness (mm),0.92134,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Left Transverse Temporal,Left transverse temporal mean cortical thickness (mm),0.9225,2,0.5,False,True,True,True
adni,nacc,Cortical Thickness Average of Right Transverse Temporal,Right transverse temporal mean cortical thickness (mm),0.93202,2,0.5,False,True,True,True
adni,nacc,Volume (Cortical Parcellation) of Left Precuneus,Left precuneus gray matter volume (cc),0.88689,4,0.25,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) o Right Precuneus,Right precuneus gray matter volume (cc),0.88166,5,0.2,False,False,True,True
adni,nacc,Volume (Cortical Parcellation) o Left Transverse Temporal,Left transverse temporal gray matter volume (cc),0.84226,7,0.14285714285714285,False,False,False,True
adni,nacc,Volume (Cortical Parcellation) o Right Transverse Temporal,Right transverse temporal gray matter volume (cc),0.84045,7,0.14285714285714285,False,False,False,True
adni,nacc,Volume (WM Parcellation) of Left Lateral Ventricle,Segmented left lateral ventricle volume (cc),0.86895,2,0.5,False,True,True,True
adni,nacc,Volume (WM Parcellation) of Right Lateral Ventricle,Segmented right lateral ventricle volume (cc),0.85613,3,0.3333333333333333,False,True,True,True
adni,nacc,Volume (WM Parcellation) of Third Ventricle,Segmented total third ventricle volume (cc),0.82741,2,0.5,False,True,True,True
adni,nacc,Volume (WM Parcellation) of Left Hippocampus,Segmented left hippocampus volume (cc),0.83758,3,0.3333333333333333,False,True,True,True
adni,nacc,Volume (WM Parcellation) of Right Hippocampus,Segmented right hippocampus volume (cc),0.83941,4,0.25,False,False,True,True
adni,epad,Smoking(1=Yes; 0=No),Smoking,0.66421,7,0.14285714285714285,False,False,False,True
adni,nacc,Smoking(1=Yes; 0=No),Smoked cigarettes in last 30 days,0.50359,24,0.041666666666666664,False,False,False,False
adni,nacc,Smoking(1=Yes; 0=No),Average number of packs smoked per day,0.57197,12,0.08333333333333333,False,False,False,False
adni,nacc,"If no longer smoking, provide period of time since stopped smoking (years)","If the subject quit smoking, age at which he/she last smoked (i.e., quit)",0.77481,1,1.0,True,True,True,True
aachen-hf,viennahf-register,HbA1c,HBA1c,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,creatinine,Creatinine,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,urea,Urea,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,triglyceride,triglyceride,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,patient identification number,patient identification number,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,mineralocorticoid receptor antagonist (MRA),Mineralocorticoid receptor antagonists(MRAs),0.95201,1,1.0,True,True,True,True
aachen-hf,viennahf-register,height,height,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,HDL-cholesterol,HDL-Cholesterol,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,age at visit,age at visit,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,estimated glomerular filtration rate (CKD-EPI),estimated glomerular fraction rate,0.7413,1,1.0,True,True,True,True
aachen-hf,viennahf-register,date of visit,date of visit,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,weight,weight,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,body mass index,body mass index,1.0,1,1.0,True,True,True,True
aachen-hf,viennahf-register,Angiotensin II receptor blockers,Angiotensin II Receptor Blockers (ARBs),0.91934,1,1.0,True,True,True,True
aachen-hf,viennahf-register,sacubitril/valsartan,Angiotensin Receptor-Neprilysin Inhibitor (ARNi),0.63258,1,1.0,True,True,True,True
aachen-hf,viennahf-register,LDL-cholesterol,HDL-Cholesterol,0.7965,4,0.25,False,False,True,True
aachen-hf,viennahf-register,Betablocker substance,Betablocker,0.92856,1,1.0,True,True,True,True
aachen-hf,viennahf-register,Beta blockers,Betablocker,0.8794,1,1.0,True,True,True,True
aachen-hf,viennahf-register,sodium glucose cotransporter 2 inhibitors,SGLT2i,0.7212,1,1.0,True,True,True,True
aachen-hf,viennahf-register,Alanine aminotransferase,Alanine Aminotransferase(ALAT),0.851,2,0.5,False,True,True,True
aachen-hf,viennahf-register,Angiotensin-converting enzyme inhibitors,ACE inhibitors (ACEI),0.88405,1,1.0,True,True,True,True
aachen-hf,viennahf-register,Aspartate aminotransferase,aspartaataminotransferase(ASAT),0.77902,2,0.5,False,True,True,True
aachen-hf,viennahf-register,height,weight,0.64703,4,0.25,False,False,True,True
aachen-hf,viennahf-register,gamma-glutamyl transferase (GGT),gamma glutaryl transferase,0.7052,1,1.0,True,True,True,True
aachen-hf,viennahf-register,prealbumin,Albumin,0.7518,1,1.0,True,True,True,True
aachen-hf,viennahf-register,History of chronic kidney disease,creatinin kinase,0.40834,142,0.007042253521126761,False,False,False,False
aachen-hf,viennahf-register,eosinophiles,eosinophils absolute,0.75728,1,1.0,True,True,True,True
aachen-hf,viennahf-register,LDL-cholesterol,LDL-Cholsterine,0.8154,2,0.5,False,True,True,True
aachen-hf,viennahf-register,History of diabetes,type of diabetes,0.68362,5,0.2,False,False,True,True
aachen-hf,viennahf-register,sacubitril/valsartan,ARNi daily dosis in % of target dosis,0.35474,129,0.007751937984496124,False,False,False,False
aachen-hf,viennahf-register,History of myocardial infarction,date of past myocardial infarction,0.88585,3,0.3333333333333333,False,True,True,True
aachen-hf,viennahf-register,History of chronic obstructive pulmonary disorder,COPD ( chronic obstructive pulmonary disease),0.81824,1,1.0,True,True,True,True
aachen-hf,viennahf-register,diuretics,Loop diuretics,0.8721,1,1.0,True,True,True,True
aachen-hf,viennahf-register,sodium glucose cotransporter 2 inhibitors,SGLT2i daily dosis in % of target dosis,0.53189,3,0.3333333333333333,False,True,True,True
aachen-hf,viennahf-register,creatinine,creatinin kinase,0.53459,42,0.023809523809523808,False,False,False,False
aachen-hf,viennahf-register,original dosage of ARNI,ARNi daily dosis in % of target dosis,0.70423,1,1.0,True,True,True,True
aachen-hf,viennahf-register,Angiotensin II receptor blockers,ARB daily dosis in % of target dosis,0.57811,13,0.07692307692307693,False,False,False,False
aachen-hf,viennahf-register,original dosage of SGLT2 inhibitors,SGLT2i daily dosis in % of target dosis,0.75135,2,0.5,False,True,True,True
aachen-hf,viennahf-register,mineralocorticoid receptor antagonist (MRA),MRA daily dosis in % of target dosis,0.39971,29,0.034482758620689655,False,False,False,False
aachen-hf,viennahf-register,high sensitivity C reactive protein,ultrasensitive C reactive protein(CRP),0.89214,1,1.0,True,True,True,True
aachen-hf,viennahf-register,smoking status,Smoking status (active/former/never),0.86833,2,0.5,False,True,True,True
aachen-hf,viennahf-register,History of myocardial infarction,presence of past myocardial infarction,0.91098,2,0.5,False,True,True,True
aachen-hf,viennahf-register,date of visit,date of stroke,0.68427,4,0.25,False,False,True,True
aachen-hf,viennahf-register,History of Coronary artery bypass graft surgery,CABG - coronary artery bypass graft,0.83437,1,1.0,True,True,True,True
aachen-hf,viennahf-register,History of stroke,date of stroke,0.76497,2,0.5,False,True,True,True
aachen-hf,viennahf-register,lymphocytes,Lymphocytes absolute,0.74617,2,0.5,False,True,True,True
aachen-hf,viennahf-register,lymphocytes,Lymphocytes relative,0.76854,1,1.0,True,True,True,True
aachen-hf,viennahf-register,History of chronic kidney disease,chronic kidney disease (yes/no),0.81623,1,1.0,True,True,True,True
aachen-hf,viennahf-register,diuretics,diuretics substance,0.84914,2,0.5,False,True,True,True
aachen-hf,viennahf-register,normalisation of loop diuretics,Loop diuretics,0.79293,1,1.0,True,True,True,True
